correct_resp,delay_frames_before,ethnicity,onset_word,delay_frames_after,scan_day,word_score_warriner,gender,onset_img,no,duration_measured_img,word_label,response,condition,offset_img,pause_trigger_t,duration_frames,session,rt,img,ID,word,offset_word,age,key_t,word_score_pc,duration_measured_word
1,180,Danish,0.526303500024369,120,Mon,7.21,female,0.9732361250207759,1,0.3150034160062205,pos,i,faceWord_exp,1.2882395410269964,,42,1,1.021723749989178,image_stim_p.png,FINALTEST,beach,0.8766435830038972,23,1.994959875009954,-2.8031613090757777,0.35034008297952823
1,180,Danish,2.2983694580034353,120,Mon,2.05,female,2.732185416010907,2,0.3407457089924719,neg,e,faceWord_exp,3.072931125003379,,42,1,0.5120543339871801,image_stim_n.png,FINALTEST,victim,2.6438272910017986,23,3.244239749998087,3.457530661450998,0.3454578329983633
0,180,Danish,4.0799320000223815,120,Mon,3.05,female,4.5313983330270275,3,0.3414032079745084,neg,i,faceWord_exp,4.872801541001536,,42,1,0.3473596669791732,image_stim_n.png,FINALTEST,envy,4.443189541023457,23,4.878758000006201,3.369799436284539,0.3632575410010759
1,180,Danish,5.879796666005859,120,Mon,6.35,female,6.330736750009237,4,0.3297749159974046,pos,i,faceWord_exp,6.6605116660066415,,42,1,0.3895988750155084,image_stim_p.png,FINALTEST,sled,6.243253624998033,23,6.720335625024745,-1.9273821271493088,0.3634569589921739
0,120,Danish,7.694511375011643,180,Mon,5.8,female,8.11370783302118,5,0.34237587498500943,neu,i,faceWord_exp,8.45608370800619,,42,1,0.3480676249891985,image_stim_n.png,FINALTEST,tomato,8.039332790998742,23,8.46177545801038,-1.3575770021145472,0.3448214159870986
1,120,Danish,9.962465500022518,180,Mon,5.05,female,10.379215416003717,6,0.3429110420111101,neu,i,faceWord_exp,10.722126458014827,,42,1,0.3858255000086501,image_stim_p.png,FINALTEST,fiddle,10.306042416021228,23,10.765040916012367,-1.0601571884744718,0.3435769159987103
1,180,Danish,12.227346083003795,120,Mon,5.73,female,12.66103645801195,7,0.32786550000309944,neu,i,faceWord_exp,12.988901958015049,,42,1,0.450132666999707,image_stim_p.png,FINALTEST,field,12.572761291026836,23,13.111169125011656,-0.999075983818647,0.3454152080230415
0,120,Danish,14.000070458016125,180,Mon,5.05,female,14.41582029100391,8,0.3441258750099223,neu,i,faceWord_exp,14.759946166013833,,42,1,0.3841142500168644,image_stim_n.png,FINALTEST,fence,14.34301479102578,23,14.799934541020775,0.3759356543037889,0.34294433300965466
0,120,Danish,16.26576908302377,180,Mon,3.32,female,16.682028791023185,9,0.3452669169928413,neg,i,faceWord_exp,17.027295708016027,,42,1,0.29968483399716206,image_stim_n.png,FINALTEST,bribe,16.61033383299946,23,16.981713625020348,2.3815246085651838,0.34456474997568876
1,180,Danish,18.53404995801975,120,Mon,5.71,female,18.993006166012492,10,0.31708962499396876,neu,i,faceWord_exp,19.31009579100646,,42,1,0.2869905419938732,image_stim_p.png,FINALTEST,tourist,18.906230708002113,23,19.279996708006365,-0.3156846970974971,0.3721807499823626
1,120,Danish,20.316082666016882,180,Mon,5.16,female,20.73202133300947,11,0.34491312500904314,neu,i,faceWord_exp,21.076934458018513,,42,1,0.39482662500813603,image_stim_p.png,FINALTEST,truck,20.660842166020302,23,21.126847958017606,-0.590728555657787,0.3447595000034198
